tags_collected, time_in_minutes, random_seed
24, 10, 1337
11, 10, 1338
50, 10, 1339
48, 10, 1340
9, 10, 1341
36, 10, 1342
14, 10, 1343
29, 10, 1344
43, 10, 1345
36, 10, 1346
27, 10, 1347
17, 10, 1348
24, 10, 1349
12, 10, 1350
0, 10, 1351
1, 10, 1352
9, 10, 1353
58, 10, 1354
0, 10, 1355
43, 10, 1356
12, 10, 1357
26, 10, 1358
53, 10, 1359
38, 10, 1360
0, 10, 1361
12, 10, 1362
59, 10, 1363
42, 10, 1364
21, 10, 1365
18, 10, 1366
1, 10, 1367
18, 10, 1368
1, 10, 1369
18, 10, 1370
19, 10, 1371
44, 10, 1372
42, 10, 1373
34, 10, 1374
71, 10, 1375
19, 10, 1376
50, 10, 1377
29, 10, 1378
3, 10, 1379
15, 10, 1380
32, 10, 1381
24, 10, 1382
33, 10, 1383
22, 10, 1384
60, 10, 1385
14, 10, 1386
