tags_collected, time_in_minutes, random_seed
71, 30, 1337
69, 30, 1338
78, 30, 1339
86, 30, 1340
81, 30, 1341
51, 30, 1342
87, 30, 1343
77, 30, 1344
74, 30, 1345
73, 30, 1346
60, 30, 1347
77, 30, 1348
80, 30, 1349
100, 30, 1350
68, 30, 1351
78, 30, 1352
63, 30, 1353
73, 30, 1354
80, 30, 1355
85, 30, 1356
95, 30, 1357
54, 30, 1358
98, 30, 1359
83, 30, 1360
95, 30, 1361
65, 30, 1362
58, 30, 1363
72, 30, 1364
47, 30, 1365
68, 30, 1366
78, 30, 1367
83, 30, 1368
64, 30, 1369
80, 30, 1370
114, 30, 1371
63, 30, 1372
90, 30, 1373
65, 30, 1374
87, 30, 1375
53, 30, 1376
61, 30, 1377
74, 30, 1378
59, 30, 1379
80, 30, 1380
80, 30, 1381
105, 30, 1382
46, 30, 1383
77, 30, 1384
79, 30, 1385
51, 30, 1386
