tags_collected, time_in_minutes, random_seed
86, 40, 1337
87, 40, 1338
81, 40, 1339
92, 40, 1340
87, 40, 1341
109, 40, 1342
103, 40, 1343
89, 40, 1344
94, 40, 1345
98, 40, 1346
91, 40, 1347
98, 40, 1348
91, 40, 1349
81, 40, 1350
90, 40, 1351
88, 40, 1352
83, 40, 1353
106, 40, 1354
82, 40, 1355
97, 40, 1356
70, 40, 1357
97, 40, 1358
80, 40, 1359
95, 40, 1360
98, 40, 1361
79, 40, 1362
95, 40, 1363
94, 40, 1364
95, 40, 1365
83, 40, 1366
88, 40, 1367
80, 40, 1368
104, 40, 1369
89, 40, 1370
99, 40, 1371
104, 40, 1372
84, 40, 1373
99, 40, 1374
63, 40, 1375
92, 40, 1376
79, 40, 1377
81, 40, 1378
103, 40, 1379
83, 40, 1380
88, 40, 1381
90, 40, 1382
83, 40, 1383
125, 40, 1384
93, 40, 1385
97, 40, 1386
