tags_collected, time_in_minutes, random_seed
90, 40, 1337
107, 40, 1338
113, 40, 1339
138, 40, 1340
104, 40, 1341
81, 40, 1342
96, 40, 1343
111, 40, 1344
84, 40, 1345
99, 40, 1346
72, 40, 1347
101, 40, 1348
109, 40, 1349
110, 40, 1350
92, 40, 1351
101, 40, 1352
104, 40, 1353
103, 40, 1354
101, 40, 1355
97, 40, 1356
145, 40, 1357
86, 40, 1358
101, 40, 1359
84, 40, 1360
98, 40, 1361
73, 40, 1362
94, 40, 1363
88, 40, 1364
60, 40, 1365
89, 40, 1366
105, 40, 1367
94, 40, 1368
86, 40, 1369
115, 40, 1370
141, 40, 1371
54, 40, 1372
106, 40, 1373
113, 40, 1374
90, 40, 1375
86, 40, 1376
60, 40, 1377
76, 40, 1378
101, 40, 1379
134, 40, 1380
82, 40, 1381
130, 40, 1382
73, 40, 1383
82, 40, 1384
109, 40, 1385
86, 40, 1386
